CodigoArticulo,DescripcionArticulo,TotalVendido,FechaVenta,Sucursal,InventarioMovimiento
16,AMLODIPINO TABLETAS 5 MG 10 PZ SISTOPRES,3.0,2022-01-01,8,3.0
24,ALBENDAZOL SUSPENSION 400 ML VERMISEN,1.0,2022-01-01,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,5.0,2022-01-01,8,5.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,1.0,2022-01-01,8,1.0
770,ELECTROLITOS ORALES SABOR FRESA,8.0,2022-01-01,8,2.0
9276,GERIASURE FR  VITAMINAS  MINERALES  ÁCIDO FÓLICO  PROTEÍNAS 400 G SABOR FRESA ,1.0,2022-01-01,8,1.0
S027,DEL VALLE DZNO 413 ML NRV 413 ML ,1.0,2022-01-01,8,1.0
S028,COCACOLA 450 ML NR PET,3.0,2022-01-01,8,3.0
578,OMEPRAZOL CAPSULAS 20 MG 007 PCS AGRIXAL,1.0,2022-01-02,8,1.0
776,ELECTROLITOS ORALES SABOR JAMAICA,1.0,2022-01-02,8,1.0
S014,COCACOLA 355 ML NRP,2.0,2022-01-02,8,2.0
S028,COCACOLA 450 ML NR PET,1.0,2022-01-02,8,1.0
S029,FANTA NARANJA 500ML,1.0,2022-01-02,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,2.0,2022-01-03,8,2.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,8.0,2022-01-03,8,8.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-03,8,1.0
9465,EUCALIN  PROPÓLEO  GORDOLOBO  SAUCO  EUCALIPTO  MIRRA  MENTOL AGAVE JARABE 250 ML ,1.0,2022-01-03,8,1.0
9810,POWER MAN 1 TABLETA DE 500 MG,1.0,2022-01-03,8,1.0
S027,DEL VALLE DZNO 413 ML NRV 413 ML ,1.0,2022-01-03,8,1.0
S028,COCACOLA 450 ML NR PET,3.0,2022-01-03,8,3.0
S037,DEL VALLE MZA 413ML NRV JUGO 413ML,1.0,2022-01-03,8,1.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,1.0,2022-01-04,8,1.0
414,JERINGA 05 ML VERDE PLÁSTICO DESECHABLE,2.0,2022-01-04,8,2.0
591,OMEPRAZOL CAPSULAS 20 MG 014 PZ CENUL,2.0,2022-01-04,8,2.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,7.0,2022-01-04,8,7.0
707,ELECTROLITOS ORALES SABOR NARANJAMANDARINA 500 ML SOLURAL,1.0,2022-01-04,8,1.0
S026,DEL VALLE MZA 413ML NRV NECTAR 413 ML,1.0,2022-01-04,8,1.0
S027,DEL VALLE DZNO 413 ML NRV 413 ML ,1.0,2022-01-04,8,1.0
S029,FANTA NARANJA 500ML,1.0,2022-01-04,8,1.0
591,OMEPRAZOL CAPSULAS 20 MG 014 PZ CENUL,1.0,2022-01-05,8,1.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,4.0,2022-01-05,8,4.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,2.0,2022-01-05,8,2.0
S014,COCACOLA 355 ML NRP,3.0,2022-01-05,8,3.0
S037,DEL VALLE MZA 413ML NRV JUGO 413ML,2.0,2022-01-05,8,2.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,5.0,2022-01-06,8,5.0
771,ELECTROLITOS ORALES SABOR MANZANA,2.0,2022-01-06,8,2.0
9155,GEL TÓPICO SALUDOL  MENTOL  ÁRNICA  CALÉNDULA  SÁBILA 100 G,1.0,2022-01-06,8,1.0
9779,VITAMINA C 100 MGC20,2.0,2022-01-06,8,2.0
S014,COCACOLA 355 ML NRP,3.0,2022-01-06,8,3.0
16,AMLODIPINO TABLETAS 5 MG 10 PZ SISTOPRES,2.0,2022-01-07,8,2.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,1.0,2022-01-07,8,1.0
414,JERINGA 05 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-07,8,1.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,6.0,2022-01-07,8,6.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-07,8,1.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-07,8,1.0
S028,COCACOLA 450 ML NR PET,1.0,2022-01-07,8,1.0
S029,FANTA NARANJA 500ML,1.0,2022-01-07,8,1.0
S043,SIDRAL MUNDET DE 500 ML NRTP,3.0,2022-01-07,8,3.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,9.0,2022-01-08,8,9.0
591,OMEPRAZOL CAPSULAS 20 MG 014 PZ CENUL,1.0,2022-01-08,8,1.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,6.0,2022-01-08,8,6.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-08,8,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-08,8,1.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-08,8,1.0
S028,COCACOLA 450 ML NR PET,1.0,2022-01-08,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,17.0,2022-01-09,8,17.0
545,NAPROXENO SÓDICO TABLETAS 275 MG 20 PCS BIXEN,1.0,2022-01-09,8,1.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,6.0,2022-01-09,8,6.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,6.0,2022-01-10,8,6.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,6.0,2022-01-10,8,6.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,8.0,2022-01-10,8,8.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-10,8,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,2.0,2022-01-10,8,2.0
776,ELECTROLITOS ORALES SABOR JAMAICA,1.0,2022-01-10,8,1.0
S026,DEL VALLE MZA 413ML NRV NECTAR 413 ML,1.0,2022-01-10,8,1.0
S036,SPRITE 500 ML NR,2.0,2022-01-10,8,2.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,3.0,2022-01-11,8,3.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,3.0,2022-01-11,8,3.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,7.0,2022-01-11,8,7.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,8.0,2022-01-11,8,2.0
9779,VITAMINA C 100 MGC20,2.0,2022-01-11,8,2.0
S028,COCACOLA 450 ML NR PET,2.0,2022-01-11,8,2.0
S037,DEL VALLE MZA 413ML NRV JUGO 413ML,1.0,2022-01-11,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,3.0,2022-01-12,8,3.0
414,JERINGA 05 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-12,8,1.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,5.0,2022-01-12,8,5.0
707,ELECTROLITOS ORALES SABOR NARANJAMANDARINA 500 ML SOLURAL,1.0,2022-01-12,8,1.0
9779,VITAMINA C 100 MGC20,3.0,2022-01-12,8,3.0
S014,COCACOLA 355 ML NRP,1.0,2022-01-12,8,1.0
S037,DEL VALLE MZA 413ML NRV JUGO 413ML,1.0,2022-01-12,8,1.0
414,JERINGA 05 ML VERDE PLÁSTICO DESECHABLE,1.0,2022-01-13,8,1.0
591,OMEPRAZOL CAPSULAS 20 MG 014 PZ CENUL,2.0,2022-01-13,8,2.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,3.0,2022-01-13,8,3.0
770,ELECTROLITOS ORALES SABOR FRESA,1.0,2022-01-13,8,1.0
774,ELECTROLITOS ORALES SABOR FRESA KIWI,1.0,2022-01-13,8,1.0
9160,CHICLES CAFÉ  GOMA BASE  5,2.0,2022-01-13,8,2.0
9287,LACTIV MUJER ACIDO FÓLICO  HIERRO  PROBIÓTICO 6 SOBRES 2G,1.0,2022-01-13,8,1.0
S036,SPRITE 500 ML NR,1.0,2022-01-13,8,1.0
142,CAPTOPRIL TABLETAS 50 MG 20 PZ BIOXIL,1.0,2022-01-14,8,1.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,1.0,2022-01-14,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,5.0,2022-01-14,8,5.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,13.0,2022-01-14,8,13.0
S037,DEL VALLE MZA 413ML NRV JUGO 413ML,1.0,2022-01-14,8,1.0
409,JERINGA 03 ML PEDIATRICA AZUL PLASTICO DESECHABLE,1.0,2022-01-15,8,1.0
411,JERINGA 05 ML NEGRA PLÁSTICO DESECHABLE,5.0,2022-01-15,8,5.0
591,OMEPRAZOL CAPSULAS 20 MG 014 PZ CENUL,2.0,2022-01-15,8,2.0
598,PARACETAMOL TABLETAS 500 MG 10 PZ QUITADOL,9.0,2022-01-15,8,9.0
